"1/sp|A6NL28|TPM3L_HUMAN"
"1/sp|O00303|EIF3F_HUMAN"
"1/sp|O00743|PPP6_HUMAN"
"1/sp|O14776|TCRG1_HUMAN"
"1/sp|O15067|PUR4_HUMAN"
"1/sp|O43143|DHX15_HUMAN"
"1/sp|O43252|PAPS1_HUMAN"
"1/sp|O43583|DENR_HUMAN"
"1/sp|O43615|TIM44_HUMAN"
"1/sp|O43681|ASNA_HUMAN"
"1/sp|O43795|MYO1B_HUMAN"
"1/sp|O60749|SNX2_HUMAN"
"1/sp|O60832|DKC1_HUMAN"
"1/sp|O60888|CUTA_HUMAN"
"1/sp|O75027|ABCB7_HUMAN"
"1/sp|O75352|MPU1_HUMAN"
"1/sp|O75475|PSIP1_HUMAN"
"1/sp|O75489|NDUS3_HUMAN"
"1/sp|O75494|SRS10_HUMAN"
"1/sp|O75643|U520_HUMAN"
"1/sp|O75964|ATP5L_HUMAN"
"1/sp|O94979|SC31A_HUMAN"
"1/sp|O95373|IPO7_HUMAN"
"1/sp|O95747|OXSR1_HUMAN"
"1/sp|O95831|AIFM1_HUMAN"
"1/sp|P00491|PNPH_HUMAN"
"1/sp|P04899|GNAI2_HUMAN"
"1/sp|P05023|AT1A1_HUMAN"
"1/sp|P05556|ITB1_HUMAN"
"1/sp|P07437|TBB5_HUMAN"
"1/sp|P07602|SAP_HUMAN"
"1/sp|P07737|PROF1_HUMAN"
"1/sp|P07910|HNRPC_HUMAN"
"1/sp|P08754|GNAI3_HUMAN"
"1/sp|P11177|ODPB_HUMAN"
"1/sp|P11717|MPRI_HUMAN"
"1/sp|P12277|KCRB_HUMAN"
"1/sp|P12429|ANXA3_HUMAN"
"1/sp|P13797|PLST_HUMAN"
"1/sp|P13807|GYS1_HUMAN"
"1/sp|P14625|ENPL_HUMAN"
"1/sp|P17987|TCPA_HUMAN"
"1/sp|P18077|RL35A_HUMAN"
"1/sp|P20020|AT2B1_HUMAN"
"1/sp|P20073|ANXA7_HUMAN"
"1/sp|P22314|UBA1_HUMAN"
"1/sp|P23193|TCEA1_HUMAN"
"1/sp|P26196|DDX6_HUMAN"
"1/sp|P26639|SYTC_HUMAN"
"1/sp|P28331|NDUS1_HUMAN"
"1/sp|P29218|IMPA1_HUMAN"
"1/sp|P30838|AL3A1_HUMAN"
"1/sp|P31153|METK2_HUMAN"
"1/sp|P31327|CPSM_HUMAN"
"1/sp|P33992|MCM5_HUMAN"
"1/sp|P35270|SPRE_HUMAN"
"1/sp|P37840|SYUA_HUMAN"
"1/sp|P42345|MTOR_HUMAN"
"1/sp|P46459|NSF_HUMAN"
"1/sp|P46782|RS5_HUMAN"
"1/sp|P46926|GNPI1_HUMAN"
"1/sp|P47756|CAPZB_HUMAN"
"1/sp|P47897|SYQ_HUMAN"
"1/sp|P48444|COPD_HUMAN"
"1/sp|P49736|MCM2_HUMAN"
"1/sp|P50402|EMD_HUMAN"
"1/sp|P50570|DYN2_HUMAN"
"1/sp|P50991|TCPD_HUMAN"
"1/sp|P51148|RAB5C_HUMAN"
"1/sp|P51149|RAB7A_HUMAN"
"1/sp|P51665|PSMD7_HUMAN"
"1/sp|P51970|NDUA8_HUMAN"
"1/sp|P52597|HNRPF_HUMAN"
"1/sp|P53597|SUCA_HUMAN"
"1/sp|P53618|COPB_HUMAN"
"1/sp|P54725|RD23A_HUMAN"
"1/sp|P55010|IF5_HUMAN"
"1/sp|P60891|PRPS1_HUMAN"
"1/sp|P61586|RHOA_HUMAN"
"1/sp|P61970|NTF2_HUMAN"
"1/sp|P62304|RUXE_HUMAN"
"1/sp|P62306|RUXF_HUMAN"
"1/sp|P62424|RL7A_HUMAN"
"1/sp|P62841|RS15_HUMAN"
"1/sp|P62906|RL10A_HUMAN"
"1/sp|P62910|RL32_HUMAN"
"1/sp|P63208|SKP1_HUMAN"
"1/sp|P63220|RS21_HUMAN"
"1/sp|P68366|TBA4A_HUMAN"
"1/sp|P83731|RL24_HUMAN"
"1/sp|Q00341|VIGLN_HUMAN"
"1/sp|Q00796|DHSO_HUMAN"
"1/sp|Q01469|FABP5_HUMAN"
"1/sp|Q03135|CAV1_HUMAN"
